epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,584.834,1.44224,3.25653,1.49981,0.37501,0.19823,0.14064,0.07637,1.51825,3.05497,1.55486,0.00033232,0.00033232,0.00033232
2,1162.89,1.48179,2.74215,1.54843,0.18598,0.24487,0.12649,0.06185,1.60039,3.01594,1.62167,0.00062172,0.00062172,0.00062172
3,1736.99,1.49388,2.64527,1.53138,0.23916,0.23297,0.15864,0.08662,1.54153,3.01373,1.60103,0.000867121,0.000867121,0.000867121
4,2234.69,1.48255,2.54558,1.54251,0.2879,0.3353,0.2344,0.11966,1.58181,2.82108,1.57504,0.000802,0.000802,0.000802
5,2687.01,1.48802,2.44557,1.5291,0.33023,0.37699,0.27452,0.15402,1.53548,2.48059,1.54054,0.000736,0.000736,0.000736
6,3293.33,1.45202,2.56962,1.53842,0.36814,0.34279,0.29003,0.15863,1.5196,2.70439,1.51837,0.00067,0.00067,0.00067
7,3733.79,1.43258,2.45501,1.53428,0.37678,0.37742,0.31594,0.17942,1.45787,2.53301,1.46933,0.000604,0.000604,0.000604
8,6239.8,1.4063,2.32183,1.47869,0.35667,0.43235,0.31511,0.17175,1.49516,2.92937,1.50512,0.000538,0.000538,0.000538
9,6680.67,1.37204,2.1845,1.47276,0.41793,0.41344,0.33621,0.19223,1.45007,2.58198,1.46168,0.000472,0.000472,0.000472
10,7383.53,1.35988,2.12358,1.44917,0.50255,0.43462,0.41978,0.24283,1.4171,2.34042,1.41642,0.000406,0.000406,0.000406
11,8604.45,1.31655,2.01053,1.41299,0.51777,0.46657,0.45999,0.27118,1.40176,2.04078,1.40375,0.00034,0.00034,0.00034
12,8876.26,1.28682,1.87771,1.38571,0.56631,0.46904,0.47279,0.27981,1.39974,2.14687,1.39941,0.000274,0.000274,0.000274
13,10355.5,1.26781,1.80788,1.37981,0.53866,0.4825,0.48389,0.29118,1.37583,2.02837,1.3839,0.000208,0.000208,0.000208
14,10653.1,1.26183,1.76385,1.37016,0.55598,0.52238,0.51162,0.31295,1.35571,2.00038,1.36377,0.000142,0.000142,0.000142
15,10978.3,1.22969,1.73173,1.35127,0.56272,0.52424,0.51551,0.31406,1.35051,1.95433,1.35973,7.6e-05,7.6e-05,7.6e-05
